wire_id/I x1            y1           z1             x2            y2            z2
 0      75.400000      0.000000   -378.000000    -75.400000      0.000000   -378.000000
 1      75.400000     8.000000   -362.000000    -75.400000     8.000000   -362.000000
 2      75.400000      -8.000000   -362.000000    -75.400000      -8.000000   -362.000000
 3       0.000000     75.400000   -328.000000      0.000000    -75.400000   -328.000000
 4      -8.000000     75.400000   -312.000000     -8.000000    -75.400000   -312.000000
 5       8.000000     75.400000   -312.000000      8.000000    -75.400000   -312.000000
 6      75.40000      50.71057     -96.28784     -75.40000      43.28891    -102.97033
 7      75.40000      38.31809    -107.56531     -75.40000      31.07390    -114.43979
 8      75.40000      26.22506    -119.16332     -75.40000      19.16332    -126.22506
 9      75.40000      14.43979    -131.07390     -75.40000       7.56531    -138.31809
10      75.40000       2.97033    -143.28891     -75.40000      -3.71216    -150.71057
11      75.40000      38.15904     -85.97545     -75.40000      45.62911     -79.40325
12      75.40000      25.80602     -97.29793     -75.40000      33.10581     -90.53710
13      75.40000      13.74618    -108.93219     -75.40000      20.87094    -101.98714
14      75.40000       1.98742    -120.87065     -75.40000       8.93246    -113.74591
15      75.40000      -9.46264    -133.10552     -75.40000      -2.70181    -125.80573
16      75.40000     -20.59649    -145.62881     -75.40000     -14.02429    -138.15875
17      75.40000      27.95544     -73.57552     -75.40000      20.60537     -80.22681
18      75.40000      15.58719     -84.88300     -75.40000       8.40524     -91.71545
19      75.40000       3.50469     -96.49531     -75.40000      -3.50469    -103.50469
20      75.40000      -8.28455    -108.40524     -75.40000     -15.11700    -115.58719
21      75.40000     -19.77319    -120.60537     -75.40000     -26.42448    -127.95544
22      75.40000      15.46703     -63.22174     -75.40000      22.86248     -56.67611
23      75.40000       3.13477     -74.56994     -75.40000      10.36865     -67.84616
24      75.40000      -8.91748     -86.21507     -75.40000      -1.84948     -79.31714
25      75.40000     -20.68258     -98.15024     -75.40000     -13.78465     -91.08224
26      75.40000     -32.15357    -110.36836     -75.40000     -25.42979    -103.13449
27      75.40000     -43.32363    -122.86219     -75.40000     -36.77800    -115.46673
28      75.40000       5.20957     -50.87328     -75.40000      -2.07139     -57.49211
29      75.40000      -7.13644     -62.20784     -75.40000     -14.25783     -68.99807
30      75.40000     -19.20922     -73.83300     -75.40000     -26.16700     -80.79078
31      75.40000     -31.00193     -85.74217     -75.40000     -37.79216     -92.86356
32      75.40000     -42.50789     -97.92861     -75.40000     -49.12672    -105.20957
33      75.40000      50.71057     103.71216     -75.40000      43.28891      97.02967
34      75.40000      38.31809      92.43469     -75.40000      31.07390      85.56021
35      75.40000      26.22506      80.83668     -75.40000      19.16332      73.77494
36      75.40000      14.43979      68.92610     -75.40000       7.56531      61.68191
37      75.40000       2.97033      56.71109     -75.40000      -3.71216      49.28943
38      75.40000      38.15904     114.02455     -75.40000      45.62911     120.59675
39      75.40000      25.80602     102.70207     -75.40000      33.10581     109.46290
40      75.40000      13.74618      91.06781     -75.40000      20.87094      98.01286
41      75.40000       1.98742      79.12935     -75.40000       8.93246      86.25409
42      75.40000      -9.46264      66.89448     -75.40000      -2.70181      74.19427
43      75.40000     -20.59649      54.37119     -75.40000     -14.02429      61.84125
44      75.40000      27.95544     126.42448     -75.40000      20.60537     119.77319
45      75.40000      15.58719     115.11700     -75.40000       8.40524     108.28455
46      75.40000       3.50469     103.50469     -75.40000      -3.50469      96.49531
47      75.40000      -8.28455      91.59476     -75.40000     -15.11700      84.41281
48      75.40000     -19.77319      79.39463     -75.40000     -26.42448      72.04456
49      75.40000      15.46703     136.77826     -75.40000      22.86248     143.32389
50      75.40000       3.13477     125.43006     -75.40000      10.36865     132.15384
51      75.40000      -8.91748     113.78493     -75.40000      -1.84948     120.68286
52      75.40000     -20.68258     101.84976     -75.40000     -13.78465     108.91776
53      75.40000     -32.15357      89.63164     -75.40000     -25.42979      96.86551
54      75.40000     -43.32363      77.13781     -75.40000     -36.77800      84.53327
55      75.40000       5.20957     149.12672     -75.40000      -2.07139     142.50789
56      75.40000      -7.13644     137.79216     -75.40000     -14.25783     131.00193
57      75.40000     -19.20922     126.16700     -75.40000     -26.16700     119.20922
58      75.40000     -31.00193     114.25783     -75.40000     -37.79216     107.13644
59      75.40000     -42.50789     102.07139     -75.40000     -49.12672      94.79043
60       0.000000     75.400000    312.000000      0.000000    -75.400000    312.000000
61      -8.000000     75.400000    328.000000     -8.000000    -75.400000    328.000000
62       8.000000     75.400000    328.000000      8.000000    -75.400000    328.000000
63      75.400000      0.000000    362.000000    -75.400000      0.000000    362.000000
64      75.400000     8.000000    378.000000    -75.400000     8.000000    378.000000
65      75.400000      -8.000000    378.000000    -75.400000      -8.000000    378.000000
