runNo efftx1c1 effty1c1 effp3s1 effp3c1 effp2s1 effp2c1 effty2c1 efftx2c1 efftx1c2 effty1c2 effp3s2 effp3c2 effp2s2 effp2c2 effty2c2 efftx2c2 grade status/C HVTXY1 HVTXY2 HVP3 HVP2 THRTXY1 THRTXY2 THRP3 THRP2
100 0.9995 0.9986 0.0373 0.7266 0.0096 0.7127 0.9937 0.9984 1.0000 1.0000 0.0373 0.7274 0.0095 0.7134 1.0000 1.0000 9 beam_on 1800 1800 1700 3 3750 3750 3750 3750
101 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 9 beam_on 1800 1800 1700 3 3750 3750 3750 3750
102 0.9994 0.9987 0.0241 0.7170 0.0084 0.7083 0.9933 0.9983 1.0000 1.0000 0.0241 0.7182 0.0083 0.7093 1.0000 1.0000 9 beam_on 1800 1800 1700 3 3750 3750 3750 3750
103 0.0097 0.0774 0.0031 0.0000 0.0001 0.0000 0.0036 0.0028 1.0000 1.0000 0.0000 0.0000 0.0000 0.0000 1.0000 1.0000 10 junk 1800 1800 1700 3 3750 3750 3750 3750
104 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 9 beam_on 1750 1750 1433 1379 3750 3750 3750 3750
105 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 10 junk 1750 1750 1433 1379 3750 3750 3750 3750
106 0.9989 0.9967 0.1222 0.0409 0.0124 0.0112 0.9774 0.9943 1.0000 1.0000 0.1224 0.0413 0.0124 0.0114 1.0000 1.0000 10 junk 1750 1750 1433 1379 3750 3750 3750 3750
107 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 10 junk 1750 1750 1433 1379 3750 3750 3750 3750
108 0.9988 0.9968 1.0000 0.9177 0.1212 0.0240 0.9774 0.9939 1.0000 1.0000 1.0000 0.9180 0.1213 0.0243 1.0000 1.0000 10 junk 1750 1750 1433 1379 3750 3750 3750 3750
109 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1                                                                 10 junk 1750 1750 1433 1379 3750 3750 3750 3750
